2017-06-24T18:04:39.308Z - error: middlewareError date=Sat Jun 24 2017 13:04:39 GMT-0500 (CDT), pid=4392, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=56320000, heapTotal=43739780, heapUsed=18235180, loadavg=[0.009765625, 0.0224609375, 0], uptime=7769809.569862829, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected token w,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1698, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-06-24T20:49:38.966Z - error: middlewareError date=Sat Jun 24 2017 15:49:38 GMT-0500 (CDT), pid=4392, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=56348672, heapTotal=43739780, heapUsed=22932720, loadavg=[0.0087890625, 0.01904296875, 0], uptime=7779709.247462935, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected token O,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1698, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-06-25T09:19:39.511Z - error: middlewareError date=Sun Jun 25 2017 04:19:39 GMT-0500 (CDT), pid=4392, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=56705024, heapTotal=43739780, heapUsed=26111656, loadavg=[0.06689453125, 0.015625, 0.00439453125], uptime=7824709.793935787, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected token ],     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1698, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-10-30T07:34:39.245Z - error: middlewareError date=Mon Oct 30 2017 02:34:39 GMT-0500 (CDT), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=56492032, heapTotal=43739780, heapUsed=23400500, loadavg=[0, 0, 0], uptime=6675510.342765111, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected token s,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-01T05:20:04.146Z - error: middlewareError date=Wed Nov 01 2017 00:20:04 GMT-0500 (CDT), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=57307136, heapTotal=43739780, heapUsed=29878016, loadavg=[0.02978515625, 0.01123046875, 0], uptime=6840235.263345088, trace=[column=10, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onAborted, line=269, method=onAborted, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=11, file=http.js, function=abortIncoming, line=1911, method=null, native=false, column=5, file=http.js, function=Socket.serverSocketCloseListener, line=1923, method=serverSocketCloseListener, native=false, column=20, file=events.js, function=Socket.emit, line=117, method=emit, native=false, column=12, file=net.js, function=TCP.close, line=465, method=close, native=false], stack=[Error: request aborted,     at IncomingMessage.onAborted (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:269:10),     at IncomingMessage.emit (events.js:92:17),     at abortIncoming (http.js:1911:11),     at Socket.serverSocketCloseListener (http.js:1923:5),     at Socket.emit (events.js:117:20),     at TCP.close (net.js:465:12)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-04T05:04:39.353Z - error: middlewareError date=Sat Nov 04 2017 00:04:39 GMT-0500 (CDT), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=56557568, heapTotal=43739780, heapUsed=22713176, loadavg=[0, 0.0126953125, 0], uptime=7098510.472777078, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected token d,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-10T04:04:39.097Z - error: middlewareError date=Thu Nov 09 2017 22:04:39 GMT-0600 (CST), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=57270272, heapTotal=43739780, heapUsed=23895972, loadavg=[0.181640625, 0.0703125, 0.07470703125], uptime=7613310.217518676, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected end of input,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-12T13:34:39.073Z - error: middlewareError date=Sun Nov 12 2017 07:34:39 GMT-0600 (CST), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=58277888, heapTotal=43739780, heapUsed=26359044, loadavg=[0.08251953125, 0.06201171875, 0.01416015625], uptime=7820310.192488622, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected end of input,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-15T21:34:39.282Z - error: middlewareError date=Wed Nov 15 2017 15:34:39 GMT-0600 (CST), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=58531840, heapTotal=44755460, heapUsed=22901560, loadavg=[0, 0.02685546875, 0.0546875], uptime=8108310.4014943, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected end of input,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-19T00:04:39.481Z - error: middlewareError date=Sat Nov 18 2017 18:04:39 GMT-0600 (CST), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=59146240, heapTotal=44755460, heapUsed=24790816, loadavg=[0.02490234375, 0.0400390625, 0.01025390625], uptime=8376510.601558722, trace=[column=null, file=null, function=Object.parse, line=null, method=parse, native=true, column=17, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js, function=parse, line=88, method=null, native=false, column=18, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js, function=null, line=116, method=null, native=false, column=16, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=invokeCallback, line=262, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=done, line=251, method=null, native=false, column=7, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onEnd, line=307, method=onEnd, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=16, file=_stream_readable.js, function=null, line=929, method=null, native=false, column=13, file=node.js, function=process._tickCallback, line=419, method=_tickCallback, native=false], stack=[SyntaxError: Unexpected end of input,     at Object.parse (native),     at parse (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/types/json.js:88:17),     at /usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/lib/read.js:116:18,     at invokeCallback (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:262:16),     at done (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:251:7),     at IncomingMessage.onEnd (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:307:7),     at IncomingMessage.emit (events.js:92:17),     at _stream_readable.js:929:16,     at process._tickCallback (node.js:419:13)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
2017-11-19T16:04:38.760Z - error: middlewareError date=Sun Nov 19 2017 10:04:38 GMT-0600 (CST), pid=23583, uid=998, gid=995, cwd=/home/homeassistant/.homeassistant, execPath=/usr/bin/nodejs, version=v0.10.29, argv=[node, /usr/local/bin/smartthings-mqtt-bridge], rss=59248640, heapTotal=44755460, heapUsed=25219704, loadavg=[0.12744140625, 0.06982421875, 0.0146484375], uptime=8434109.880330347, trace=[column=10, file=/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js, function=IncomingMessage.onAborted, line=269, method=onAborted, native=false, column=17, file=events.js, function=IncomingMessage.emit, line=92, method=emit, native=false, column=11, file=http.js, function=abortIncoming, line=1911, method=null, native=false, column=5, file=http.js, function=Socket.serverSocketCloseListener, line=1923, method=serverSocketCloseListener, native=false, column=20, file=events.js, function=Socket.emit, line=117, method=emit, native=false, column=12, file=net.js, function=TCP.close, line=465, method=close, native=false], stack=[Error: request aborted,     at IncomingMessage.onAborted (/usr/local/lib/node_modules/smartthings-mqtt-bridge/node_modules/body-parser/node_modules/raw-body/index.js:269:10),     at IncomingMessage.emit (events.js:92:17),     at abortIncoming (http.js:1911:11),     at Socket.serverSocketCloseListener (http.js:1923:5),     at Socket.emit (events.js:117:20),     at TCP.close (net.js:465:12)], url=/subscribe, accept=*/*, user-agent=Linux UPnP/1.0 SmartThings, host=10.0.0.4:8080, content-type=application/json, content-length=1756, method=POST, httpVersion=1.1, originalUrl=/subscribe, 
